,상점이름,상점종류,담당,사장님 추천 메뉴 & 시그니처 메뉴,평균 가격대,영업시간 및 정기 휴무일,테이블 수 및 좌석 형태,아기의자 유무,주차장 유무 및 인근 주차 팁,상점의 역사,사장님이 추천하는 '우리 가게 100% 즐기는 팁',사장님 가게만이 가진 자랑거리나 매력,id,type,emoji,accent,tagline,story,sunday,sunday_note,address,phone,signature,price,hours,seats,baby_chair,parking,history,tip,charm,naver_url,main_image,gallery,placeholder
11,태문네,한식,,갈매기살,"14,000","11시~22시, 월요일 휴무","좌식 4인석 10개, 룸 2개(4인석 테이블 4개씩)",있음,없음,37년,공기밥 시키면 무조건 나오는 된장찌개가 건더기가 아주 풍부하니 꼭 맛보세요,단일 메뉴로 이렇게 오래된 노포는 없다 방화동 맛집 = 태문네 라고 말 할 수 있다고 하심,s10,,🥩,#7b241c,37년 단일 메뉴의 자부심 — 방화동 갈매기살의 전설,"37년. 오직 갈매기살 하나로 이만큼 오래 자리를 지킨 노포는 흔치 않습니다. 메뉴는 단출합니다 — 소금구이와 마늘 양념구이, 그리고 된장찌개와 밥. 소금구이는 고기 본연의 고소함을, 양념구이는 풍부한 감칠맛을 자랑합니다. 공깃밥을 시키면 따라오는 된장찌개는 청양고추와 버섯이 듬뿍 들어가 칼칼하고 구수해, 고기 못지않은 주인공이 됩니다. '방화동 맛집은 곧 태문네'라는 사장님의 자부심이 결코 과장이 아닙니다. (상점 폴더에 사진이 없어 대표 이미지는 감성 카드로 대신했습니다.)",open,매주 월요일 휴무 · 주일에는 문을 엽니다.,서울 강서구 양천로28길 40 (신방화역 3번 출구 616m),02-2663-7815,,,,,,,,,,,assets/s10/태문네 (00).jpg,"[""assets/s10/태문네 (00).jpg"", ""assets/s10/태문네 (01).jpg"", ""assets/s10/메뉴.jpg""]",FALSE
12,마라홍 마라탕,중식,,"마라탕, 마라샹궈","600g 당 6,000원","11시 30분~21시 30분, 화요일 휴무","2인 1개, 4인 1개",없음,없음,"피제이피자 사장님이 업종 변경, 5년",저렴하게 푸짐하게 먹을 수 있는 마라탕집,사이드메뉴가 다 맛있으니 꼭 주문해 보세요,s11,,🌶️,#c0392b,"저렴하게, 푸짐하게 — 사이드까지 다 맛있는 마라의 세계","동네 피자집이 5년의 내공을 담아 마라탕집으로 변신했습니다. 600g당 6,000원이라는 정직한 가격으로 저렴하고 푸짐하게 즐기는 마라탕과 마라샹궈가 간판 메뉴. 그런데 진짜 비밀은 사이드에 있습니다 — 무엇을 주문해도 다 맛있다는 사장님의 자신감. 마라의 얼얼한 매력에 푹 빠지고 싶다면, 사이드 메뉴까지 꼭 곁들여 보세요.",open,화요일 휴무 · 주일에는 문을 엽니다.,서울 강서구,,,,,,,,,,,,assets/s11/00.jpg,"[""assets/s11/00.jpg"", ""assets/s11/02.jpg"", ""assets/s11/03.jpg"", ""assets/s11/04.jpg"", ""assets/s11/메뉴.jpg""]",FALSE
13,카페 까사모멘토,카페,,"모멘토 크림라떼, 에그타르트","4,000~6,000","9시 30분~19:30분, 화요일 휴무","2인 2개, 4인 8개",있음 ,5대 주차가능,3개월,"카페 경력 10년차 사장님이 만드는 크림 라떼, 그리고 그 크림이 올라간 바스크 치즈케이크 자신있게 추천합니다! 에그 타르트도 직접 만들어 구워요!","모든게 수제입니다. (베이커리, 심지어 그레놀라까지) 과일 빙수에도 생과를 씁니다. 탄소발자국을 최소화 하기 위하여 플라스틱 빨대는 생분해 빨대, 아이스 테이크아웃 잔도 종이입니다!",s12,,☕,#6c4f3d,그레놀라까지 직접 — 모든 것이 수제인 다정한 카페,"카페 경력 10년 차 사장님의 손끝에서 모든 것이 수제로 태어납니다. 시그니처인 모멘토 크림라떼, 그 크림을 올린 바스크 치즈케이크, 직접 구운 에그타르트, 심지어 그레놀라까지 — 베이커리 전부를 직접 만듭니다. 과일 빙수에도 생과를 쓰는 정성. 게다가 플라스틱 빨대 대신 생분해 빨대를, 아이스 테이크아웃 잔도 종이로 바꿔 탄소발자국을 줄이려는 마음까지 따뜻합니다. 정성과 가치를 함께 마시는 한 잔입니다.",open,화요일 휴무 · 주일에는 문을 엽니다.,서울 강서구,,,,,,,,,,,,assets/s12/00.jpg,"[""assets/s12/00.jpg"", ""assets/s12/01.jpg"", ""assets/s12/02.jpg"", ""assets/s12/03.jpg"", ""assets/s12/04.jpg"", ""assets/s12/05.jpg"", ""assets/s12/06.jpg"", ""assets/s12/08.jpg"", ""assets/s12/09.jpg"", ""assets/s12/10.jpg"", ""assets/s12/메뉴.jpg""]",FALSE
15,빙그레식당,한식,,"저녁메뉴-홍삼세트(홍어+삼겹살)
점심메뉴-육회비빔밥, 순두부찌개","9,900-14,000",연중무휴,실내8개/야외3개,없음,가게앞2개/솔병원주차장이용,8개월,"레트로 노래와 분위기를 즐기며, 홍삼세트 먹기","레트로 분위기, 시골풍경, 26년째 정육점 운영하신 사장님의 고기부심",s14,,🍻,#117864,"레트로 감성과 시골 풍경, 26년 정육 내공의 고기부심","26년째 정육점을 운영해 온 사장님의 '고기부심'이 그대로 담긴 식당입니다. 레트로 노래가 흐르고 시골 풍경이 펼쳐지는 분위기 속에서, 저녁이면 홍어와 삼겹살이 어우러진 '홍삼세트', 점심이면 육회비빔밥과 순두부찌개가 한 상을 채웁니다. 실내 자리와 야외 자리가 모두 있어, 좋은 사람들과 추억 한 컷 남기기 좋은 곳입니다.",open,연중무휴 · 주일에도 문을 엽니다.,서울 강서구 (솔병원 주차장 인근),,,,,,,,,,,,assets/s14/00.jpg,"[""assets/s14/00.jpg"", ""assets/s14/01.jpg"", ""assets/s14/02.jpg"", ""assets/s14/03.jpg"", ""assets/s14/05.jpg"", ""assets/s14/메뉴.jpg"", ""assets/s14/시그니쳐.jpg""]",FALSE
16,장수밥상,한식,,"고등어구이, 돼지불백","11,000~13,000",주일 휴무,"4인 5개, 2인 1개",없음,가게 앞1대,10년,"집밥먹고 싶을 때, 왠만한 메뉴 다 있어요. 먹고 싶은 메뉴가 딱히 생각나지 않을 때, 찾아주세요","반찬 종류가 많고, 계속 리필됩니다. 집밥같은 따뜻한 식사를 먹고 싶을 때 오세요.",s15,,🍚,#797d7f,"제육볶음과 고등어구이, 든든한 집밥 한 상","마곡·발산역에서 도보 10분, 업무지구 한편에서 든든한 집밥을 차려내는 장수밥상입니다. 제육볶음과 고등어구이의 조합은 후기마다 빠지지 않는 인기 한 상. 특별할 것 없어 보여도, 매일 먹어도 질리지 않는 '진짜 집밥'의 정직한 맛이 이곳의 힘입니다.",check,정기 휴무 정보가 확정되지 않았습니다. 주일 방문 전 확인을 권합니다.,서울 강서구 방화대로44길 13 (신방화역 3번 출구 565m),,,,,,,,,,,,assets/s15/00.jpg,"[""assets/s15/00.jpg"", ""assets/s15/01.jpg"", ""assets/s15/02.jpg"", ""assets/s15/03.jpg"", ""assets/s15/04.jpg"", ""assets/s15/05.jpg"", ""assets/s15/메뉴.jpg""]",FALSE
17,매일향 중화요리,중식,,"식사류 - 차돌짬뽕, 쟁반짜장
요리류 - 탕수육, 양장피","식사류 - 10,000~20,000
요리류 - 25,000~40,000","10시~20시 30분, 연중무휴","홀 4인석 10개
룸 3개",없음,상가 주차장 이용,9년,"룸에서 편하고 즐겁게 식사 가능, 화장실도 가깝고 깨끗, 중국 현지 쉐프들도 일하러 오는 인증 식당(?)",전화 주문시 다회용기 배달 가능 주문시 '수거용'으로 말씀하시면 다 해드립니다. 실장님이 경력이 화려해서 모든 요리가 다 맛있다. 직원들이 일하기 행복한 곳이라고 이야기 해주는 강서경찰서에서 상도 받으시는 지역의 일꾼 사장님이 운영하시는 곳,s16,,🥢,#922b21,"현지 셰프도 일하러 오는, 룸에서 편안한 중화 한 상","9년 내공의 매일향 중화요리는 화려한 경력의 실장님 손끝에서 모든 요리가 살아납니다. 차돌짬뽕과 쟁반짜장 같은 식사류부터 탕수육·양장피 같은 요리류까지, 무엇을 시켜도 든든합니다. 룸이 있어 가족 모임에 편안하고, 화장실도 가깝고 깨끗합니다. 전화 주문 시 '수거용'이라 말하면 다회용기 배달까지 — 환경을 생각하는 마음이 반갑습니다. 직원들이 '일하기 행복한 곳'이라 말하는, 강서경찰서 표창까지 받은 지역의 일꾼 같은 가게입니다.",open,연중무휴 · 주일에도 문을 엽니다.,서울 강서구,,,,,,,,,,,,assets/s16/00.jpg,"[""assets/s16/00.jpg"", ""assets/s16/02.jpg"", ""assets/s16/03.jpg"", ""assets/s16/04.jpg"", ""assets/s16/05.jpg"", ""assets/s16/06.jpg"", ""assets/s16/07.jpg"", ""assets/s16/10.jpg"", ""assets/s16/메뉴.jpg"", ""assets/s16/이벤트.jpg""]",FALSE
18,김밥365,한식,,매우 다양한 분식과 식사류를 골라 먹을 수 있어요~ 뭘 골라도 부담없는 금액에 한끼 잘 먹을 수 있는 곳! 김밥도 주문과 동시에 말아주시는곳. 떡라면에 김밥한줄 시켜 먹으면 정말 맛있어요!,,,,,,,,,s17,,🍙,#e74c3c,"1년 365일, 뭘 골라도 부담 없는 한 끼","이름값 그대로, 1년 365일 동네의 끼니를 책임지는 김밥365 방화본점입니다. 다양한 분식과 식사류 중 무엇을 골라도 부담 없는 가격에 한 끼를 잘 챙길 수 있고, 김밥은 주문과 동시에 말아 주어 늘 신선합니다. 떡라면에 김밥 한 줄이면 더없이 든든한 조합. 주일 나들이의 가볍고 따뜻한 한 끼로 제격입니다. (상점 폴더에 사진이 없어 대표 이미지는 감성 카드로 대신했습니다.)",open,이름처럼 연중무휴로 운영됩니다. 주일에도 든든한 한 끼가 가능합니다. (21시 마감),서울 강서구 양천로 128 한림리첸빌 (신방화역 3번 출구 690m),02-2661-3659,,,,,,,,,,,assets/s17/김밥365 (00).jpg,"[""assets/s17/김밥365 (00).jpg"", ""assets/s17/김밥365 (02).jpg"", ""assets/s17/메뉴.jpg""]",FALSE
19,빵굼터,베이커리,,"사라다빵, 각종 수제빵, 다양한 종류의 파운드, 카스테라",만원이면 다양한 종류의 빵 한보따리!,"주일은 격주로 휴무, 매주 화요일은 이벤트",,,,,사라다빵은 시그니쳐! 꼭 먹어보시라는 주인 아주머니의 추천이 있었어요!,평범해보여도 먹어보면 계속 생각나는 추억의 맛. 추억의 빵을 맛있게 구워 판매하는곳. 깔끔하게 정돈된 매장. ,s18,,🥐,#ca6f1e,평범해 보여도 자꾸 생각나는 — 추억의 사라다빵,"만 원이면 다양한 빵을 한 보따리. 빵굼터는 화려하지 않아도 먹어 보면 자꾸 생각나는 '추억의 맛'을 굽습니다. 주인 아주머니가 강력 추천하는 시그니처는 단연 '사라다빵'. 각종 수제빵과 파운드, 카스테라까지 깔끔하게 정돈된 매장에 정겹게 놓여 있습니다. 다만 주일은 격주로 쉬어가니, 주일에 들르실 계획이라면 미리 확인하는 센스가 헛걸음을 막아 줍니다.",biweekly,⚠️ 주일은 '격주로' 휴무입니다. 주일 방문 전 반드시 영업 여부를 확인해 주세요. (매주 화요일은 이벤트),서울 강서구,,,,,,,,,,,,assets/s18/00.jpg,"[""assets/s18/00.jpg"", ""assets/s18/01.jpg"", ""assets/s18/02.jpg""]",FALSE
21,금수저 아구찜,한식,,,,,,,,,,,s20,,🍲,#b7950b,이게 만 원이라니 — 가성비로 증명하는 점심 한 상,"'이게 만 원이라는 게 말이 안 된다'는 후기가 절로 나오는 가성비 맛집, 금수저입니다. 점심 제육볶음은 불향이 살아 있고, 함께 나오는 밑반찬 하나하나까지 정성이 가득합니다. 아구찜의 얼큰함과 푸짐한 한 상이 어우러져, 든든하게 배를 채우고 싶은 날 제격인 곳입니다.",check,영업시간·정기휴무 정보가 확정되지 않았습니다. 주일 방문 전 확인을 권합니다.,서울 강서구 방화대로44길 5-1 (신방화역 3번 출구 621m),,,,,,,,,,,,assets/s20/00.jpg,"[""assets/s20/00.jpg"", ""assets/s20/01.jpg"", ""assets/s20/02.jpg"", ""assets/s20/04.jpg"", ""assets/s20/메뉴.jpg""]",FALSE
22,마곡 명인 도넛츠 꽈배기,베이커리,,"꽈배기, 쑥찹쌀 도너츠, 생도너츠","3,000~4,000",주일 휴무,픽업만 가능,없음,없음,1개월,즉석에서 만들어서 따뜻할 때 드세요,사장님이 직접 즉석에서 만듭니다. ,,,,,,,,,,,,,,,,,,,,,,,
